amazon_sku,channel_id, linnworks_code,price_uk, sale_price_uk,,,,,,,,
HSDUGF1052V,1,HSDUGF1052,54.99,39.99,,,,,,,,
HSDUGF1052V_FBA,1,HSDUGF1052,54.99,44.99,,,,,,,,
HSDUGF4501,1,HSDUGF4501,34.99,24.99,,,,,,,,
HSDUGF4501_FBA,1,HSDUGF4501,34.99,29.99,,,,,,,,
HSDUGF4502,1,HSDUGF4502,44.99,29.99,,,,,,,,
HSDUGF4502,3,HSDUGF4502,,,,,,,,,,
HSDUGF4502V1,1,HSDUGF4502,44.99,29.99,,,,,,,,
HSDUGF4502_FBA,1,HSDUGF4502,44.99,34.99,,,,,,,,
HSDUGF4503,1,HSDUGF4503,54.99,39.99,,,,,,,,
HSDUGF4503,3,HSDUGF4503,,,,,,,,,,
HSDUGF4503V1,1,HSDUGF4503,54.99,39.99,,,,,,,,
HSDUGF4503_FBA,1,HSDUGF4503,54.99,44.99,,,,,,,,
HSDUGF4504,1,HSDUGF4504,69.99,54.99,,,,,,,,
HSDUGF4504,2,HSDUGF4504,,,,,,,,,,
HSDUGF4504,3,HSDUGF4504,,,,,,,,,,
HSDUGF4504V1,1,HSDUGF4504,69.99,54.99,,,,,,,,
HSDUGF4504V1_FBA,1,HSDUGF4504,69.99,59.99,,,,,,,,
HSDUMFAS02,1,HSDUMFAS02,79.99,49.99,,,,,,,,
HSDUMFAS02,2,HSDUMFAS02,,,,,,,,,,
HSDUMFAS02,3,HSDUMFAS02,,,,,,,,,,
HSDUMFAS02A,1,HSDUMFAS02,79.99,49.99,,,,,,,,
HSDUMFAS02B,1,HSDUMFAS02,79.99,49.99,,,,,,,,
HSDUMFAS02B,3,HSDUMFAS02,,,,,,,,,,
HSDUMFAS02_FBA,1,HSDUMFAS02,79.99,54.99,,,,,,,,
HSDUMFAS03,1,HSDUMFAS03,89.99,64.99,,,,,,,,
HSDUMFAS03,2,HSDUMFAS03,,,,,,,,,,
HSDUMFAS03,3,HSDUMFAS03,,,,,,,,,,
HSDUMFAS03B,1,HSDUMFAS03,89.99,64.99,,,,,,,,
HSDUMFAS03B,3,HSDUMFAS03,,,,,,,,,,
HSDUMFAS03_FBA,1,HSDUMFAS03,89.99,69.99,,,,,,,,
KWV65CombiD,1,FEDUALL9/4.5D,89.99,64.99,,,,,,,,
MFDU4.5D,1,MFDU4.5D,39.99,24.99,,,,,,,,
MFDU4.5D,2,MFDU4.5D,,,,,,,,,,
MFDU4.5D,3,MFDU4.5D,,,,,,,,,,
MFDU4.5D_FBA,1,MFDU4.5D,39.99,29.99,,,,,,,,
MFDU4.5K,1,MFDU4.5K,49.99,29.99,,,,,,,,
MFDU4.5K,2,MFDU4.5K,,,,,,,,,,
MFDU4.5K,3,MFDU4.5K,,,,,,,,,,
MFDU4.5KA,1,MFDU4.5K,49.99,29.99,,,,,,,,
MFDU4.5K_FBA,1,MFDU4.5K,49.99,34.99,,,,,,,,
MFDU4.5S,1,MFDU4.5S,34.99,19.99,,,,,,,,
MFDU4.5S,2,MFDU4.5S,,,,,,,,,,
MFDU4.5S,3,MFDU4.5S,,,,,,,,,,
MFDU4.5SA,1,MFDU4.5S,34.99,19.99,,,,,,,,
MFDU4.5SK,1,MFDU4.5SK,59.99,34.99,,,,,,,,
MFDU4.5SK,2,MFDU4.5SK,,,,,,,,,,
MFDU4.5SK,3,MFDU4.5SK,,,,,,,,,,
MFDU4.5SKA,1,MFDU4.5SK,59.99,34.99,,,,,,,,
MFDU4.5SK_FBA,1,MFDU4.5SK,59.99,39.99,,,,,,,,
MFDU4.5S_FBA,1,MFDU4.5S,34.99,24.99,,,,,,,,
MFDUALL9/4.5S,1,MFDUALL9/4.5S,69.99,41.99,,,,,,,,
MFDUALL9/4.5S,2,MFDUALL9/4.5S,,,,,,,,,,
MFDUALL9/4.5S,3,MFDUALL9/4.5S,,,,,,,,,,
MFDUALL9/4.5SA,1,MFDUALL9/4.5S,69.99,41.99,,,,,,,,
MFDUALL9/4.5SB,1,MFDUALL9/4.5S,69.99,41.99,,,,,,,,
